epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,368.358,1.9862,2.57987,1.8202,0.83492,0.1216,0.11244,0.05515,1.51719,5.0153,1.36262,0.00999434,0.00333145,0.00999434,0.00333145,0.00999434,0.00333145,0.00999434,0.00333145
2,664.055,1.7116,1.81292,1.59026,0.86542,0.19791,0.18773,0.09579,1.47274,3.88127,1.31991,0.0195984,0.00653282,0.0195984,0.00653282,0.0195984,0.00653282,0.0195984,0.00653282
3,941.22,1.69225,1.75615,1.55969,0.86577,0.14352,0.13702,0.07448,1.46579,3.78135,1.31224,0.0288066,0.00960219,0.0288066,0.00960219,0.0288066,0.00960219,0.0288066,0.00960219
4,1209.72,1.70864,1.73663,1.55674,0.859,0.25597,0.24419,0.1307,1.41526,3.56047,1.27549,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1479.32,1.67442,1.67577,1.5304,0.85596,0.27156,0.25819,0.14301,1.39656,2.78464,1.25241,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1729.68,1.63688,1.60329,1.49518,0.82436,0.27286,0.24919,0.13694,1.40029,2.3614,1.24258,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1941.67,1.6146,1.58238,1.47788,0.85663,0.28442,0.2657,0.15117,1.37265,2.34039,1.22856,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2151.36,1.60433,1.54685,1.46642,0.87825,0.28308,0.27095,0.15476,1.35658,2.4785,1.19916,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2367.86,1.58778,1.51643,1.45866,0.87464,0.28991,0.27188,0.15627,1.34356,2.10781,1.20341,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2572.57,1.56777,1.47541,1.44568,0.89023,0.30984,0.29561,0.17117,1.33288,2.14528,1.18331,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2762.85,1.56633,1.46927,1.44338,0.89327,0.30584,0.2903,0.17238,1.33078,1.98568,1.18684,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2998.97,1.55696,1.47041,1.43923,0.89042,0.34585,0.3246,0.18837,1.33225,2.08905,1.18446,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3210.51,1.54002,1.44293,1.41962,0.88437,0.35745,0.34439,0.19615,1.31658,2.29177,1.16979,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3391.76,1.53426,1.42746,1.41831,0.89626,0.35182,0.33478,0.19301,1.31879,2.03794,1.17742,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3583.98,1.52585,1.41839,1.40764,0.88233,0.36214,0.34744,0.20484,1.30505,1.93529,1.17106,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3759.54,1.52574,1.4022,1.40489,0.88518,0.34718,0.32703,0.19687,1.30241,2.06407,1.16225,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3956.9,1.5026,1.39074,1.39679,0.88709,0.37674,0.36144,0.214,1.28834,1.94398,1.1599,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4153.35,1.50308,1.37447,1.38745,0.88446,0.37399,0.35826,0.21402,1.2972,1.92283,1.15335,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4365.8,1.49841,1.37819,1.39232,0.88722,0.35504,0.33866,0.20582,1.28381,1.84917,1.15156,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4571.18,1.48188,1.34789,1.38129,0.8666,0.38545,0.36626,0.22089,1.28431,1.98515,1.14641,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4777.67,1.48341,1.33817,1.37899,0.88865,0.39098,0.37205,0.22507,1.27697,1.69827,1.13901,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4991.97,1.47435,1.32842,1.37002,0.88504,0.39939,0.38301,0.22642,1.28004,1.77935,1.13887,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5172.09,1.46227,1.32141,1.36348,0.88237,0.40615,0.3857,0.23397,1.27086,1.74183,1.13505,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
