epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.463,1.22035,1.07143,1.37432,0.87313,0.4959,0.47961,0.28922,1.4173,1.39961,1.38152,0.000555444,0.000555444,0.000555444
2,1309.42,1.33136,1.10314,1.484,0.86353,0.3969,0.37577,0.21559,1.54681,1.80255,1.48131,0.00101111,0.00101111,0.00101111
3,1893.39,1.38454,1.18217,1.53009,0.88985,0.36827,0.35246,0.20278,1.5376,1.42368,1.49041,0.00136676,0.00136676,0.00136676
4,2470.51,1.37736,1.16416,1.52514,0.88446,0.41771,0.39264,0.23065,1.50311,1.55292,1.44045,0.00121691,0.00121691,0.00121691
5,3048.19,1.32561,1.06092,1.47989,0.88862,0.46893,0.45074,0.27224,1.45237,1.6641,1.41281,0.00106688,0.00106688,0.00106688
6,3626.76,1.27262,0.99196,1.43618,0.89547,0.47951,0.46158,0.28439,1.41025,1.44159,1.37113,0.00091685,0.00091685,0.00091685
7,4210.07,1.22738,0.90602,1.3947,0.87869,0.53063,0.50914,0.30938,1.40531,1.3705,1.36467,0.00076682,0.00076682,0.00076682
8,4791.76,1.17858,0.84318,1.35708,0.88822,0.53618,0.52164,0.32374,1.36342,1.13982,1.34306,0.00061679,0.00061679,0.00061679
9,5388.49,1.13564,0.78665,1.3228,0.8821,0.55058,0.53355,0.33193,1.36098,1.16215,1.32781,0.00046676,0.00046676,0.00046676
10,5971.82,1.09604,0.73676,1.29114,0.88175,0.55802,0.5393,0.33903,1.34694,1.13976,1.32657,0.00031673,0.00031673,0.00031673
11,6554.61,1.05967,0.69062,1.26554,0.88066,0.57204,0.54869,0.34778,1.33412,1.09614,1.32034,0.0001667,0.0001667,0.0001667
