epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,794.018,1.29191,1.18746,1.43654,0.86007,0.57341,0.55111,0.34378,1.35572,1.22469,1.32988,0.00999518,0.00333173,0.00999518,0.00333173,0.00999518,0.00333173,0.00999518,0.00333173
2,1497.74,1.26109,1.13327,1.40849,0.87557,0.55116,0.52571,0.32808,1.37415,1.41877,1.33826,0.0195993,0.00653309,0.0195993,0.00653309,0.0195993,0.00653309,0.0195993,0.00653309
3,2202.3,1.28922,1.17809,1.42362,0.88209,0.49799,0.47935,0.29566,1.4232,1.48709,1.38216,0.0288074,0.00960246,0.0288074,0.00960246,0.0288074,0.00960246,0.0288074,0.00960246
4,2907.13,1.32626,1.2336,1.44379,0.90651,0.46659,0.45023,0.28318,1.39274,1.3012,1.34884,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3611.29,1.32074,1.231,1.44085,0.89401,0.48678,0.46658,0.28949,1.42027,1.26045,1.36457,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4314.18,1.31384,1.21398,1.43561,0.88723,0.51392,0.49567,0.30612,1.40333,1.31599,1.34492,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5015.4,1.30851,1.20412,1.42756,0.89631,0.51465,0.49753,0.30791,1.39701,1.34432,1.34025,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5726.56,1.30536,1.19991,1.42576,0.89426,0.51424,0.49191,0.31155,1.38038,1.46276,1.32567,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6431.2,1.30007,1.19076,1.42088,0.89624,0.51525,0.49673,0.31246,1.36689,1.31046,1.31565,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,7133.83,1.29729,1.1878,1.41896,0.89431,0.52782,0.51125,0.31925,1.37278,1.28286,1.31579,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7837.88,1.2931,1.17795,1.41522,0.89796,0.5296,0.51215,0.32582,1.35709,1.20644,1.31101,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8585.03,1.2892,1.17469,1.41341,0.89955,0.53897,0.52236,0.33024,1.35203,1.2141,1.31034,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,9349.37,1.28271,1.16388,1.40865,0.88609,0.55261,0.52917,0.33501,1.34397,1.31255,1.30792,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10062.8,1.27968,1.15266,1.40403,0.89267,0.55036,0.53083,0.33785,1.33292,1.2759,1.30212,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,10773.5,1.27439,1.15487,1.40405,0.9045,0.55161,0.53297,0.34103,1.33515,1.20382,1.30279,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,11481.8,1.269,1.14511,1.3967,0.89358,0.55852,0.54188,0.34454,1.33068,1.17945,1.29405,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,12193.3,1.2647,1.13879,1.39356,0.89188,0.55736,0.54108,0.34449,1.32364,1.17042,1.28916,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,12912.4,1.25507,1.13034,1.38921,0.88741,0.56274,0.54103,0.34907,1.31657,1.13422,1.28596,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,13631.5,1.25928,1.13039,1.39048,0.89177,0.5662,0.5506,0.35151,1.3183,1.1269,1.28776,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,14340.9,1.25033,1.11468,1.37947,0.88853,0.56809,0.55027,0.35192,1.32081,1.14559,1.28937,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,15053.4,1.2436,1.107,1.37364,0.89244,0.57089,0.55058,0.35367,1.31966,1.15047,1.28919,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,15767.9,1.24113,1.09845,1.37545,0.8885,0.57369,0.55492,0.35616,1.31639,1.14568,1.28796,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,16489.2,1.23116,1.08657,1.36789,0.88832,0.57681,0.55503,0.35773,1.31539,1.13813,1.28805,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,17211.6,1.23178,1.08495,1.36501,0.89089,0.57785,0.55558,0.359,1.31413,1.13624,1.28712,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,17928.9,1.2234,1.07354,1.36065,0.88871,0.57915,0.55566,0.35935,1.31189,1.12567,1.28596,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,18648.6,1.22442,1.07312,1.36367,0.88945,0.57923,0.55554,0.36033,1.31068,1.1206,1.28583,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,19377.7,1.21622,1.05616,1.35643,0.89059,0.58096,0.56027,0.3611,1.30943,1.11654,1.28531,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,20110.9,1.21107,1.05236,1.35257,0.89079,0.58175,0.56467,0.36186,1.30804,1.10883,1.28498,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,20835.5,1.20548,1.04262,1.34806,0.88987,0.58157,0.56002,0.36175,1.307,1.10137,1.2845,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,21555.9,1.19024,1.02705,1.33976,0.88891,0.58026,0.56002,0.36145,1.30602,1.09962,1.28373,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,22277.6,1.18334,1.02585,1.33396,0.88963,0.58072,0.56008,0.36148,1.30483,1.09453,1.28286,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,22999.6,1.1856,1.01867,1.33279,0.89097,0.58029,0.56032,0.36175,1.30522,1.08979,1.28312,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,23734.1,1.17521,1.00848,1.32585,0.8915,0.58035,0.56054,0.36238,1.30521,1.08183,1.28282,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,24460.2,1.16616,0.98896,1.31887,0.89243,0.57982,0.56062,0.36288,1.30439,1.07305,1.28144,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,25184,1.16488,0.97856,1.31155,0.89354,0.58071,0.56075,0.36308,1.30409,1.06344,1.28094,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
